Ticker,Date,Open,High,Low,Close,Volume
AAPL,2021-08-31,148.90016654739884,149.03671791602926,147.5638979226051,148.09060668945312,86453100
MSFT,2021-08-31,292.16012706402677,292.2368923425425,289.35771113719727,289.722412109375,26285300
NVDA,2021-08-31,22.62075674664323,22.62075674664323,22.04763890496798,22.311771392822266,259850000
QQQ,2021-08-31,369.28089840437747,369.3488101474605,367.19432268536974,368.7374267578125,29628200
AAPL,2021-09-01,149.06597111930256,151.1630130890743,148.58803390921838,148.75384521484375,80313700
MSFT,2021-09-01,290.6725935556559,292.8991678511316,289.34816523699277,289.6744689941406,18983800
NVDA,2021-09-01,22.41144855038439,22.622754957763057,22.28386700045794,22.367591857910156,201767000
QQQ,2021-09-01,369.79523177921465,371.4159322397432,369.14499095082925,369.3487854003906,28138300
AAPL,2021-09-02,150.08036655286702,150.9094380524186,148.64656965264444,149.86578369140625,71115500
MSFT,2021-09-02,290.02958175450493,291.14283957172955,288.0909139976585,289.0218505859375,16285600
NVDA,2021-09-02,22.444341223157213,22.51909665177635,22.22207110229776,22.32274055480957,187834000
QQQ,2021-09-02,370.6977473620195,371.02771012392384,367.9609608099566,369.174072265625,25453400
AAPL,2021-09-03,149.9730775691431,150.8216606743961,149.3195806196622,150.49978637695312,57808700
MSFT,2021-09-03,288.8682550507009,290.413430936319,288.16767300122905,289.0122375488281,14747900
NVDA,2021-09-03,22.2519691858628,22.91080616281464,22.12737809725463,22.768274307250977,280532000
QQQ,2021-09-03,368.0290057631559,370.70756608874484,368.0096066365166,370.3096618652344,24605400
AAPL,2021-09-07,151.15329277694906,153.38688652354213,150.58757563240493,152.8309326171875,82278300
MSFT,2021-09-07,288.887563068861,288.9643283762939,286.19073133371813,288.0909729003906,17180400
NVDA,2021-09-07,22.758307882725695,22.82409196545465,22.4483244181334,22.587867736816406,198107000
QQQ,2021-09-07,370.4164063611562,371.48395068011064,369.26152154569473,370.8337097167969,23970200
AAPL,2021-09-08,153.11376479693286,153.1722846868866,150.1876512353804,151.28982543945312,74420200
MSFT,2021-09-08,287.7070752289388,288.5036360740859,285.4901073055441,288.1197509765625,15046800
NVDA,2021-09-08,22.43935888934045,22.536041717228212,21.905110981321915,22.265928268432617,254434000
QQQ,2021-09-08,370.65899507579223,370.65899507579223,367.28171104948837,369.5429382324219,32949200
AAPL,2021-09-09,151.6604770125975,152.2652024090621,150.15839699282031,150.27545166015625,57305700
MSFT,2021-09-09,288.7051331589924,289.9719800475994,285.0389683549398,285.2789001464844,19927000
