Ticker,Date,Open,High,Low,Close,Volume,Quarter,Split
AAPL,2025-01-02,247.1365264348607,247.3053149666319,240.0777664039773,242.0931396484375,55740700,Q1,train
MSFT,2025-01-02,419.7509810335182,420.2836558558519,409.2160306987592,412.8953552246094,16896500,Q1,train
NVDA,2025-01-02,135.79720670711552,138.67291713644488,134.4292544268475,138.103759765625,198247200,Q1,train
QQQ,2025-01-02,510.499434346488,512.8221689652438,501.9729160194123,506.4595336914063,36389800,Q1,train
AAPL,2025-01-03,241.60665893554688,242.4207431843357,240.14724866814672,241.60665893554688,40244100,Q1,train
MSFT,2025-01-03,415.3613950253171,418.27134378737713,413.8423310893823,417.6005859375,16662900,Q1,train
NVDA,2025-01-03,139.80120658589456,144.6839138332244,139.5216253508109,144.2545623779297,229322500,Q1,train
QQQ,2025-01-03,509.55653114882335,515.8100252164201,508.7426439244086,514.7479248046875,29059500,Q1,train
AAPL,2025-01-06,242.549801627174,245.54804748087852,241.4477983095151,243.23483276367188,45045600,Q1,train
MSFT,2025-01-06,422.1874160873605,428.4215926337743,419.7016505493917,422.0394592285156,20573600,Q1,train
NVDA,2025-01-06,148.36840963752263,151.93309314343088,147.599568879649,149.2071533203125,265377400,Q1,train
QQQ,2025-01-06,520.1476411928097,524.018784806924,518.1723564940825,520.6637573242188,36109700,Q1,train
AAPL,2025-01-07,241.22940732447117,243.78089861816605,239.6111612224788,240.4649658203125,40856000,Q1,train
MSFT,2025-01-07,423.1738758487943,424.8014616583564,415.085225621156,416.6339111328125,18139100,Q1,train
NVDA,2025-01-07,152.80179213743568,152.90164910642062,139.80120400217487,139.93101501464844,351782200,Q1,train
QQQ,2025-01-07,521.7059999662438,522.1030076792526,509.4869713360559,511.3728942871094,36690300,Q1,train
AAPL,2025-01-08,240.17700647488417,241.95411831821167,238.32048434869316,240.95138549804688,37628900,Q1,train
MSFT,2025-01-08,417.709061289588,421.171402275518,415.81515330470927,418.7941284179688,15054600,Q1,train
NVDA,2025-01-08,142.36737985085435,143.73533196712347,137.3548616440079,139.90106201171875,227349900,Q1,train
