Date,Quarter,Split,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,factor_rel_mom_aapl_qqq_5d,factor_rel_mom_aapl_peers_5d,factor_peer_confirmation_5d,factor_peer_disagreement_5d,factor_rel_vol_aapl_qqq_10d,factor_volume_confirmed_mom_5d_20d,factor_market_aligned_mom_5d_20d,factor_close_pressure_5d,target_next_day_up,target_date
2025-01-02,Q1,train,247.1365264348607,247.3053149666319,240.0777664039773,242.0931396484375,55740700,510.499434346488,512.8221689652438,501.9729160194123,506.4595336914063,36389800,419.7509810335182,420.2836558558519,409.2160306987592,412.8953552246094,16896500,135.79720670711552,138.67291713644488,134.4292544268475,138.103759765625,198247200,-0.018347905550472166,-0.025150871586738732,-0.030426086747685932,0.03360972265782214,1.0178022296399405,-0.009872153609122993,0.0006255042363381509,-0.2589036582530708,0,2025-01-03
2025-01-03,Q1,train,241.60665893554688,242.4207431843357,240.14724866814672,241.60665893554688,40244100,509.55653114882335,515.8100252164201,508.7426439244086,514.7479248046875,29059500,415.3613950253171,418.27134378737713,413.8423310893823,417.6005859375,16662900,139.80120658589456,144.6839138332244,139.5216253508109,144.2545623779297,229322500,-0.03965080163131207,-0.05983598880622443,-0.000622573885197375,0.0661350173052615,1.2290429789535984,0.008828819398001411,0.0004441079471279432,-0.32610901550621263,1,2025-01-06
2025-01-06,Q1,train,242.549801627174,245.54804748087852,241.4477983095151,243.23483276367188,45045600,520.1476411928097,524.018784806924,518.1723564940825,520.6637573242188,36109700,422.1874160873605,428.4215926337743,419.7016505493917,422.0394592285156,20573600,148.36840963752263,151.93309314343088,147.599568879649,149.2071533203125,265377400,-0.045222578153092496,-0.08364623832165125,0.042212746855227745,0.09687532219943018,1.1904817148258815,0.0020385319115568535,-0.0002839289721764525,-0.21326282168910055,0,2025-01-07
2025-01-07,Q1,train,241.22940732447117,243.78089861816605,239.6111612224788,240.4649658203125,40856000,521.7059999662438,522.1030076792526,509.4869713360559,511.3728942871094,36690300,423.1738758487943,424.8014616583564,415.085225621156,416.6339111328125,18139100,152.80179213743568,152.90164910642062,139.80120400217487,139.93101501464844,351782200,-0.03877724316318576,-0.04635310140391952,0.006741841869040643,0.025064707428101296,0.9107711780295272,0.0055948558263335365,0.0007876799821890298,-0.24774726243584394,1,2025-01-08
2025-01-08,Q1,train,240.17700647488417,241.95411831821167,238.32048434869316,240.95138549804688,37628900,511.2736514045927,513.1000201476976,506.7969699488272,511.4622497558594,30777800,417.709061289588,421.171402275518,415.81515330470927,418.7941284179688,15054600,142.36737985085435,143.73533196712347,137.3548616440079,139.90106201171875,227349900,-0.03873082751341439,-0.05612782185729459,0.025299477542443438,0.03607943098728872,0.9427188394503762,0.006264194676285249,0.0003705670682980635,-0.10018930044427843,0,2025-01-10
2025-01-10,Q1,train,238.28077607985776,238.42970445265777,231.3212870184269,235.1435546875,61710900,507.700292461824,507.799529251394,500.1961615298894,503.4419860839844,40532500,418.8631684887605,418.9420687753876,409.3836648034606,413.2603149414063,20201100,137.24503329388114,139.71135128077043,134.01985409411645,135.70733642578125,207602500,-0.02274812308569507,-0.020472026953118783,-0.008234217969928403,0.01823624326526696,0.9695153388063243,-0.007845972063038378,0.0006943331928726769,-0.04889699372520064,0,2025-01-13
2025-01-13,Q1,train,231.8474698930612,232.9792558543989,228.06492247356016,232.7111968994141,49630700,497.4962392396563,502.28059733248006,496.0073239549711,501.8240051269531,31694200,409.6007014640922,412.8164377086338,406.690782868284,411.5242309570313,17604800,129.79615256902926,133.29093305056014,129.31685741876072,133.03131103515625,204808900,-0.011710671776786752,0.009358222429695529,-0.046176173041337476,0.06325106995861263,0.906956398531954,-0.0007145403361094435,0.0016358474306016227,-0.013745654187657969,0,2025-01-14
2025-01-14,Q1,train,233.05869925952223,234.41882398797216,230.79512716232853,231.5992889404297,39435300,504.9804910575475,506.39001083545065,497.8833343601906,501.3475341796875,33737200,412.1357932076061,414.0395749911103,405.14208486737954,410.0248718261719,16935900,135.84710238324766,136.1766120600162,129.85605059334506,131.56349182128906,195590500,-0.010737440091826644,0.02552201189909975,-0.07335867941516783,0.0897815101099042,0.9418001486501084,0.009352326389357837,0.0018721816504643964,-0.12770792327986724,1,2025-01-15
2025-01-15,Q1,train,232.94949481929564,237.2383779015073,232.74100113522096,236.15621948242188,39832000,509.2387301124164,514.0230569301199,507.6802948725127,512.881591796875,34957600,413.4379027909623,422.3353935398116,412.5895665870108,420.5203857421875,19637800,133.45068552943664,136.2465130176968,131.09420431967888,136.03683471679688,185217300,-0.020868683785696618,-0.008667888379244204,-0.00925050702273017,0.03715755882266192,1.033928809443336,0.003456622281158691,0.00043896743753434075,0.0515624728343599,0,2025-01-16
2025-01-16,Q1,train,235.63995285298608,236.29518618874627,226.38709407905125,226.6154327392578,71759100,515.1448467748171,515.224272558158,509.1594384871324,509.2884826660156,28229000,422.8778842735224,423.6571336957602,418.6264203199314,418.8138122558594,15300000,138.4332346192246,138.54307117698642,133.2909213149963,133.3708038330078,209235600,-0.055247180241898786,-0.03618193936026054,-0.023315343584000725,0.04672468962197518,1.3359999584208566,-0.025288850851227705,0.0026823464794883413,-0.17322500767359472,1,2025-01-17
2025-01-17,Q1,train,230.44764042021455,230.6164138035219,226.833866130533,228.32305908203125,68488300,518.9861821179226,520.1971979799845,509.3181691473964,517.8843994140625,51837900,428.1947089431654,428.57942688248704,422.3551241092644,423.2034301757813,26197500,136.48614039423094,138.29343848833506,135.2579791055137,137.50462341308594,201188800,-0.05769301061814747,-0.047657676730030185,0.018652009895857247,0.010816328932235608,1.217287166972604,-0.009784742823472008,0.0007155988360161853,-0.19729321827419918,0,2025-01-21
2025-01-21,Q1,train,222.38612124582832,222.803093405302,217.79941234276583,221.03591918945312,98070400,520.6042324328826,522.0832120911833,516.2169118563148,520.921875,23628000,424.3575582513444,425.0480336398343,419.82002384260585,422.6806335449219,26085700,138.95245710585658,141.61847317570314,136.88553704004724,140.61996459960938,197749000,-0.08822758224697747,-0.09224770912319213,0.04207703463258128,0.029934163127701252,1.4253778539523965,-0.04218139169989833,-0.0008914073696211128,-0.2864129078924147,1,2025-01-22
2025-01-22,Q1,train,218.2064751614249,222.5052806842356,218.2064751614249,222.2173767089844,64126500,525.6565483001042,529.8751413083515,525.3488415863966,527.5822143554688,33593000,431.6175824572203,441.1957044539868,430.0787709144918,440.1402587890625,27803800,144.44426793757484,147.56958971587568,143.45573886876412,146.85067749023438,237651400,-0.09283757646192414,-0.13533122829898903,0.09482198375697126,0.04274855198091654,1.4039504380205117,-0.00810126218478373,-0.0014336707541842794,-0.01925936450185537,0,2025-01-23
2025-01-23,Q1,train,223.1208199792776,225.394314538592,220.69839703644928,222.0485992431641,60234800,525.1304247166951,528.8229657869698,524.5448186856646,528.703857421875,23096600,435.9973147591307,440.6828062638951,435.5041051270503,440.6433410644531,18389300,144.8337106624021,147.01045262591376,143.5056920734559,147.00047302246094,155915500,-0.09058825177820307,-0.1239613420783997,0.06422283394095951,0.032740650933691606,1.6368673854957008,-0.013582666390282265,-0.0017091274694505303,-0.2075296710827284,0,2025-01-24
2025-01-24,Q1,train,223.1605018815617,224.00438385368136,219.81478693461756,221.17491149902344,54697900,529.0810884811151,529.8453571094432,524.2470818339253,525.7161254882812,19878300,439.1143639891968,440.5841189283991,435.4054182545328,438.029296875,15549500,148.14874363197046,148.74785499769604,141.66843136501245,142.40731811523438,234657600,-0.05626379193229958,-0.08082550054445925,0.05681777444005842,0.021874083251081533,1.5715565431039686,-0.002377976080390524,-0.00031038627211287407,-0.12015173448115597,1,2025-01-27
2025-01-27,Q1,train,222.40601266103107,230.47742834163907,222.36629236472388,228.2039337158203,94863400,507.2238554261772,514.1621916220109,506.3801306258622,510.41015625,60771700,418.2516146753107,429.2896479328885,417.74853125025015,428.6583251953125,35647800,124.6138830305536,128.20850504229963,116.52595684106744,118.24339294433594,818830900,0.013910521255111163,0.06307197560719247,-0.06359371601611075,0.1529665001142806,1.473703920945782,-0.00040598764660396407,1.5505596215846463e-05,0.13514626216464104,1,2025-01-28
2025-01-28,Q1,train,229.1867945454765,238.4594987479956,229.147074251248,236.54339599609372,75707600,511.4125906777684,519.135127001106,507.9980395084438,517.9539184570312,33194200,428.6977608632086,442.2906153004339,425.5214900534852,441.1266479492188,23491700,121.62835222502514,128.80763280108368,116.07664583818588,128.7976531982422,579666400,0.07585568346959803,0.09037429176124817,-0.020216116277792462,0.12771332821210757,1.630687324551121,0.025075718059506143,-0.0010319621227869139,0.34711001834360233,1,2025-01-29
2025-01-29,Q1,train,232.43322998057815,238.1318804363608,232.32402189200357,237.63548278808597,45486100,518.5990994614392,518.7281436223639,513.0801896776674,516.9811401367188,26649000,440.6235877197962,440.81100977301065,434.41900262341227,436.3227844238281,23581400,126.31135328562937,126.70077107762197,119.8709750783515,123.5155258178711,467120600,0.0894766816679653,0.15317161834986065,-0.08378862811101412,0.15023062960015443,1.6203960697335398,-0.012955822224228265,-0.00022970217884192126,0.3396499217756445,0,2025-01-30
2025-01-30,Q1,train,236.95044029141235,239.05516137192973,235.500967711044,235.8782196044922,55658300,519.8398489654351,522.2121410225601,514.380493502768,519.1846923828125,27431300,413.0827588425547,417.1172097708342,407.5489615626973,409.3540954589844,54586300,122.9164122570478,124.81358019968631,117.92386904906036,124.46410369873048,392925500,0.08028667296089953,0.17444007256310418,-0.11215811983534413,0.0823000433978297,1.7766197012128073,-0.0013964547203881659,0.0008986894453007424,0.32498047826386933,0,2025-01-31
2025-01-31,Q1,train,245.40904807772532,245.40904807772532,231.7581140684966,234.29966735839844,100959800,523.0260873773669,527.5921301044531,517.338450995146,518.4302978515625,38755200,413.2899333042713,414.976701732093,409.27519987674,409.4231567382813,34161900,123.59540412169352,127.6593341751579,119.01225290264884,119.89093780517578,388161100,0.0731999325568573,0.17105055812411457,-0.11170948833269317,0.09280606862110086,1.4830200399098408,0.04049529656152383,0.001283780121317914,0.2570035088280971,0,2025-02-03
2025-02-03,Q1,train,228.3329787245057,230.15971829856625,224.0738787357251,226.3672332763672,73063300,509.6754636986273,517.0009308639123,507.2733642921369,514.2811889648438,40580800,406.0101743775102,409.7684293585694,403.1100993381394,405.3394165039063,25679100,114.57888277703152,118.39318602096668,112.84147962875149,116.4860382080078,371235700,-0.01563266555910303,0.026582464350736024,-0.03463096907870594,0.0395375756781412,1.837047216705116,-0.0016114673211419836,-0.00012429942623445645,0.049440876880067264,1,2025-02-04
2025-02-04,Q1,train,225.61271003037928,231.45035067549784,225.0170268486458,231.1227264404297,45067300,514.7974890430145,521.2295844539116,514.4004206860424,520.5942993164062,26046800,407.0853452090854,408.2986516716073,404.1753965052981,406.7696838378906,20532100,116.78557092036436,121.01924546805154,116.52595653802958,118.47305297851562,256550000,-0.028013887564449114,0.05610681682851998,-0.07902299055147416,0.0022768192486263272,1.6060173866511636,0.006017682048263285,-0.00026027600599037794,0.06274157084909704,0,2025-02-05
