Date,target_date,actual,predicted,position,aapl_return,strategy_return,strategy_equity,buy_hold_equity
2025-10-01,2025-10-02,1,0,0,0.006576613515574703,0.0,1.0,1.0065766135155747
2025-10-02,2025-10-03,1,0,0,0.003461262002619314,0.0,1.0,1.0100606389006614
2025-10-03,2025-10-06,0,0,0,-0.005154515566945683,-0.0,1.0,1.0048542656138888
2025-10-06,2025-10-07,0,0,0,-0.000818112846591168,-0.0,1.0,1.0040321814302382
2025-10-07,2025-10-08,1,0,0,0.006160217240152921,0.0,1.0,1.0102172377839531
2025-10-08,2025-10-09,0,0,0,-0.015577766995038989,-0.0,1.0,0.9944803090393828
2025-10-09,2025-10-10,0,0,0,-0.034522098610332286,-0.0,1.0,0.9601487617446914
2025-10-10,2025-10-13,1,0,0,0.009744389834039247,0.0,1.0,0.9695048255778018
2025-10-13,2025-10-14,1,0,0,0.00044413082231420375,0.0,1.0,0.9699354125532232
2025-10-14,2025-10-15,1,0,0,0.0063365317531554055,0.0,1.0,0.9760814390933766
2025-10-15,2025-10-16,0,0,0,-0.007580061823251549,-0.0,1.0,0.9686826814405205
2025-10-16,2025-10-17,1,0,0,0.019559517683697347,0.0,1.0,0.9876296474780477
2025-10-17,2025-10-20,1,0,0,0.03943872556830863,0.0,1.0,1.0265805021080598
2025-10-20,2025-10-21,1,0,0,0.002021035212009581,0.0,1.0,1.0286552574507828
2025-10-21,2025-10-22,0,0,0,-0.016440027383920586,-0.0,1.0,1.011744136849678
2025-10-22,2025-10-23,1,0,0,0.00437203311509915,0.0,1.0,1.0161675157199923
2025-10-23,2025-10-24,1,0,0,0.01248175137693619,0.0,1.0,1.0288510660085282
2025-10-24,2025-10-27,1,0,0,0.022791155180591938,0.0,1.0,1.052299770311646
2025-10-27,2025-10-28,1,0,0,0.0007068183069018907,0.0,1.0,1.0530435550536508
2025-10-28,2025-10-29,1,0,0,0.002602324032269898,0.0,1.0,1.0557839156039939
2025-10-29,2025-10-30,1,0,0,0.0063032339337949495,0.0,1.0,1.0624387686075838
2025-10-30,2025-10-31,0,0,0,-0.00379504371308903,-0.0,1.0,1.0584067670382376
2025-10-31,2025-11-03,0,0,0,-0.0048822471546564605,-0.0,1.0,1.053239363611396
2025-11-03,2025-11-04,1,0,0,0.003679621866796934,0.0,1.0,1.0571148862047117
2025-11-04,2025-11-05,1,1,1,0.00037045842471905566,0.00037045842471905566,1.000370458424719,1.0575065033202022
2025-11-05,2025-11-06,0,0,0,-0.0013698257358518706,-0.0,1.000370458424719,1.0560579036961235
2025-11-06,2025-11-07,0,1,1,-0.004818849477972176,-0.004818849477972176,0.9955498237633603,1.050968919618189
2025-11-07,2025-11-10,1,0,0,0.004548510139593898,0.0,0.9955498237633603,1.0557492624054705
2025-11-10,2025-11-11,1,0,0,0.021601267048394046,0.0,0.9955498237633603,1.078554784158836
2025-11-11,2025-11-12,0,0,0,-0.006466769865795197,-0.0,0.9955498237633603,1.0715800185820286
2025-11-12,2025-11-13,0,0,0,-0.0019014763772919885,-0.0,0.9955498237633603,1.0695424344903168
2025-11-13,2025-11-14,0,0,0,-0.0019784193430598673,-0.0,0.9955498237633603,1.067426431049698
2025-11-14,2025-11-17,0,0,0,-0.018171105694162026,-0.0,0.9955498237633603,1.0480301125503517
