Ticker,Date,Open,High,Low,Close,Volume
MSFT,2021-08-31,292.16012706402677,292.2368923425425,289.35771113719727,289.722412109375,26285300
MSFT,2021-09-01,290.6725935556559,292.8991678511316,289.34816523699277,289.6744689941406,18983800
MSFT,2021-09-02,290.02958175450493,291.14283957172955,288.0909139976585,289.0218505859375,16285600
MSFT,2021-09-03,288.8682550507009,290.413430936319,288.16767300122905,289.0122375488281,14747900
MSFT,2021-09-07,288.887563068861,288.9643283762939,286.19073133371813,288.0909729003906,17180400
MSFT,2021-09-08,287.7070752289388,288.5036360740859,285.4901073055441,288.1197509765625,15046800
MSFT,2021-09-09,288.7051331589924,289.9719800475994,285.0389683549398,285.2789001464844,19927000
MSFT,2021-09-10,286.40178494786,287.84137565254247,283.48420625224344,283.8009033203125,19633400
MSFT,2021-09-13,285.5668944983296,286.51704460158174,282.2366390348642,285.0294494628906,23652900
MSFT,2021-09-14,287.4958659786448,289.2521830846945,286.09467252451213,287.71661376953125,21853400
MSFT,2021-09-15,291.0468952158528,293.02393100782655,289.66488563272827,292.5440673828125,28356300
MSFT,2021-09-16,291.5267240633766,293.01428940804146,288.6475426567624,292.92791748046875,19550800
MSFT,2021-09-17,291.9202715592397,292.23696868760265,287.4671227397801,287.7934265136719,41372500
MSFT,2021-09-20,284.39593784399835,286.689699826259,277.86019819512114,282.44769287109375,38278700
MSFT,2021-09-21,283.78175309872546,285.5572543702067,282.22699963878074,282.9275817871094,22364100
MSFT,2021-09-22,284.7799475033804,288.12938705763713,282.6493513126284,286.555419921875,26626300
MSFT,2021-09-23,286.8144211194727,288.78184976305334,285.54757444442816,287.4958190917969,18604600
MSFT,2021-09-24,286.2194826708354,287.72623226962907,284.9718196101101,287.29437255859375,14999000
MSFT,2021-09-27,284.21366203503686,284.53035916304015,281.142522901756,282.322998046875,23571700
MSFT,2021-09-28,278.12892262453175,279.0694657966121,271.36285777992146,272.1018371582031,43186200
MSFT,2021-09-29,273.61823631743374,275.22096437346653,271.6124099419833,272.5625305175781,26353700
MSFT,2021-09-30,274.20365982638276,276.23827687630234,270.278378953934,270.5663146972656,32343600
MSFT,2021-10-01,270.7582465838053,278.301717984921,269.96168585473896,277.4571533203125,30086300
MSFT,2021-10-04,275.8256432027342,276.1615536435043,268.9635982922401,271.7084045410156,31350700
MSFT,2021-10-05,272.6104927683687,278.70476619683035,272.6104927683687,277.1308288574219,24993000
MSFT,2021-10-06,274.2708756099428,281.8047410195279,274.0117597743309,281.3056640625,28002600
MSFT,2021-10-07,283.2922830435044,284.6935059183277,282.08304662293614,282.9755859375,20430500
MSFT,2021-10-08,284.2904075857707,284.6935059183277,281.92948674808355,282.9755859375,17685700
MSFT,2021-10-11,281.1232834858587,285.9698937714107,280.96011698698385,282.3805236816406,19298600
MSFT,2021-10-12,283.44582055374815,283.541799129027,280.5762456707699,281.08489990234375,17974100
MSFT,2021-10-13,283.0331577701654,285.307706593833,281.67033223174053,284.37677001953125,23416300
MSFT,2021-10-14,287.1599008270888,291.056390013878,285.83547291155634,290.5573425292969,27262900
