Date,AAPL_return_1d,AAPL_cum_return_5d,QQQ_return_1d,QQQ_cum_return_5d,MSFT_return_1d,MSFT_cum_return_5d,NVDA_return_1d,NVDA_cum_return_5d,AAPL_mean_return_3d,AAPL_mean_return_5d,AAPL_mean_return_10d,AAPL_mean_return_20d,AAPL_volatility_5d,AAPL_cum_return_10d,AAPL_volatility_10d,AAPL_cum_return_20d,AAPL_volatility_20d,AAPL_close_to_ma20,AAPL_volume_to_ma20,AAPL_daily_range,AAPL_minus_QQQ_1d,AAPL_minus_peer_mean_1d,previous_direction,target_next_day_up,target_date
2025-01-02,-0.026235900249704125,-0.055576958334424664,-0.0019560155401149304,-0.03722905278395261,-0.006927630944431273,-0.047230948076597,0.02993546437158101,-0.013621225418774863,-0.015519033442256877,-0.011324702628747385,-0.0037671884844410752,0.0003138896344753395,0.010703396070509326,-0.0379911207478848,0.014760479474836857,0.004945547294080255,0.011864930541427163,-0.02409051220753844,0.17763033287498442,0.0298544129468114,-0.024279884709589195,-0.037739816963278994,0,0,2025-01-03
2025-01-03,-0.002009477482910471,-0.0604585626914218,0.016365357075756926,-0.02080776106010973,0.011395697852621955,-0.033690082537828125,0.04453754642699925,0.032444934767433375,-0.01176772337555835,-0.01236176064226453,-0.0018259590575760765,0.0001392316008141159,0.009074439117856102,-0.018907516684342207,0.013393892927150316,0.001440311688686302,0.011872512409873378,-0.026119789542711325,-0.1460309177884921,0.00940990006734666,-0.018374834558667397,-0.029976099622721075,0,1,2025-01-06
2025-01-06,0.006738944345732412,-0.04143349146642372,0.011492678716045202,0.0037890866866689965,0.010629470935847651,-0.006224914244487345,0.03433230021111999,0.09065040795494284,-0.007168811128960728,-0.008365526692789737,-0.001853535660640415,0.00047000912569168386,0.012385415467052576,-0.01917618404046939,0.013373937504103244,0.008064573247821283,0.011963853783246426,-0.019941224464892104,-0.04920009971181938,0.016857162786989805,-0.00475373437031279,-0.01574194122775141,1,0,2025-01-07
2025-01-07,-0.011387624510386551,-0.03961125953487876,-0.01784426687360907,-0.0008340163716931137,-0.0128081580466064,-0.005790511845010005,-0.062169528063781176,0.01927419558309129,-0.002219385882521537,-0.007990370058265838,-0.004873872375498434,-5.822902817925746e-05,0.012227368785727015,-0.0482532591009569,0.011461119226720603,-0.002594160796450695,0.012253664113263604,-0.030979668503507418,-0.14124407787152293,0.01734031143149174,0.00645664236322252,0.026101218544807236,0,1,2025-01-08
2025-01-08,0.0020228297127402595,-0.030828344314851153,0.00017473641983811738,0.007902483198563237,0.005184929088663637,0.007259762048798635,-0.00021405549675002078,0.0433391930360878,-0.0008752834839712934,-0.006174245636905695,-0.004978092072949436,-0.0007621489029133843,0.013047385932378214,-0.04924213574152814,0.011385395368502083,-0.016413527894763025,0.011666835848644037,-0.02823221962455591,-0.20319594890691406,0.015080361384964916,0.001848093292902142,-0.00046260708321654853,1,0,2025-01-10
2025-01-10,-0.024103745236999097,-0.028706244923047186,-0.015681047185209462,-0.005958121837352004,-0.01321368448375082,0.0008839036627048547,-0.029976367052783504,-0.017352339602561884,-0.011156180011548463,-0.00574781463436469,-0.008536258631556038,-0.002174019636270791,0.012237492306234315,-0.08268779747944577,0.011230067877523571,-0.044073131311502145,0.012705530537574937,-0.04957767086573395,0.273319345113618,0.03023011812370435,-0.008422698051789634,-0.0025087194687319347,0,0,2025-01-13
2025-01-13,-0.01034413973761028,-0.03681795061164195,-0.0032138379431098096,-0.025107278834855196,-0.0042009453160802845,-0.014550638062031163,-0.0197190915473352,-0.07780170802064379,-0.010808351753956372,-0.0074147470853046515,-0.00988825386378459,-0.0024329216252495177,0.012168428335218308,-0.09505055292784015,0.010450128822406118,-0.04904866275672559,0.012821932959631098,-0.057121818815487835,0.019407390260431923,0.021117734970710875,-0.007130301794500471,0.0016158786940974612,0,0,2025-01-14
2025-01-14,-0.004778059559656711,-0.04783666751606808,-0.0009494781883642167,-0.03709922742424143,-0.0036434285470202665,-0.028467924360215724,-0.011033637137344954,-0.11824943447011993,-0.013075314844755362,-0.009718147866382476,-0.009041837279586106,-0.0029700116804247225,0.009648567986868837,-0.08728811882718257,0.01049098810118619,-0.05920303482991962,0.012675844696473053,-0.05884817255568675,-0.19550539105209286,0.015646407388477328,-0.0038285813712924943,0.002560473282525899,0,1,2025-01-15
2025-01-15,0.01967592630720172,-0.017918395401974374,0.023006112189341232,0.0029502883837222438,0.025597261622863465,0.009328272388600789,0.03400139988367168,-0.02782928643406113,0.0015179090033115756,-0.003505437702864822,-0.00574790388056533,-0.00202050174806786,0.01612928286662831,-0.05681988472613697,0.013698888026392799,-0.04134935633589332,0.013638772964553188,-0.0383398232737463,-0.19290914189659059,0.01904407504550652,-0.0033301858821395136,-0.010123404446065853,1,0,2025-01-16
2025-01-16,-0.04040031960231405,-0.059497282944261265,-0.007005728394873678,-0.004250102702362479,-0.0040582419882359,4.70012269873088e-05,-0.019597860309961135,-0.046677688394988315,-0.008500817618256348,-0.011990067565875683,-0.00908215660139069,-0.004626898423773146,0.022423987788533644,-0.0884914245347086,0.017565235532496285,-0.09074256882612208,0.015698541825176663,-0.07292224158787308,0.425042112846044,0.04372205365684518,-0.03339459120744037,-0.028572268453215532,0,1,2025-01-17
2025-01-17,0.007535348860102653,-0.02900566683417294,0.016878286159249356,0.028687343783974528,0.010481072475327702,0.024060174361975273,0.03099493638243378,0.013243845429739443,-0.004396348145003226,-0.005662248746455334,-0.0057050316904100114,-0.004736110087425543,0.02261434919576597,-0.05687926798092202,0.017142145379073683,-0.09270948159089232,0.015600776472197582,-0.06145741656365733,0.33733900618151424,0.016566647662292905,-0.009342937299146703,-0.013202655568778088,1,0,2025-01-21
2025-01-21,-0.031915917392995485,-0.050170674490610856,0.005865161393882712,0.03805690775636661,-0.0012353317425670696,0.027109953068730652,0.022656264998191844,0.057044116196431904,-0.021593629378402295,-0.009976604277532376,-0.008695675681418514,-0.005260817369497295,0.02559248841993855,-0.08514144368670473,0.018940234151373088,-0.10243914710401159,0.016349995283332246,-0.08667638634125852,0.8407579154191425,0.022637411516123068,-0.0377810787868782,-0.04262638402080787,0,1,2025-01-22
2025-01-22,0.00534509288745344,-0.040509244542017764,0.012785677997240397,0.05232833191990638,0.041306896646082114,0.07344770776651299,0.04430887824759355,0.11619625974742953,-0.006345158548479797,-0.007951973788110345,-0.00883506082724641,-0.005344298243943413,0.026491204898215985,-0.08640808479560214,0.01881876614154922,-0.10392729149944657,0.016288164801386788,-0.0768792335599896,0.19998551630309436,0.019345046667706912,-0.007440585109786957,-0.037462794559384394,1,0,2025-01-23
2025-01-23,-0.0007595151572747927,-0.059738508137440194,0.002126006214550946,0.030849743640762872,0.0011430044522051652,0.04785250847411371,0.0010200533956441493,0.08059315940780531,-0.009110113220938946,-0.012039062081005646,-0.007772249891935234,-0.006323061133716834,0.0224279116936195,-0.07658648532988399,0.01895819030710009,-0.12114419691058631,0.01531929478929121,-0.07167859290845568,0.22736869087913392,0.021148151882733782,-0.002885521371825739,-0.00184104408119945,0,0,2025-01-24
